ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
East Midlands ,E07000170,Ashfield,"17,712","17,587","17,714","17,864","18,486","18,516","19,408","20,258","20,961","21,601","21,953","21,016","21,821","21,969","22,391","22,977","23,580","23,839","23,816","24,142","24,793","25,329","24,286","25,879","27,107","28,942"
East Midlands ,E07000171,Bassetlaw,"13,012","13,656","13,893","14,129","14,757","15,301","16,019","16,509","17,049","17,486","17,718","17,207","17,943","18,626","19,396","19,827","20,090","20,791","21,184","21,440","22,243","23,079","23,245","23,950","26,144","27,131"
East Midlands ,E07000174,Mansfield,"9,531","9,928","10,098","10,552","10,981","11,469","12,212","12,812","13,246","13,642","13,713","12,965","13,405","13,998","14,629","14,677","15,427","15,978","16,235","16,609","17,487","18,175","17,908","18,845","20,693","22,211"
East Midlands ,E07000175,Newark and Sherwood,"13,705","14,451","14,831","15,027","15,544","16,281","16,596","17,262","17,972","18,409","18,763","18,158","18,712","19,974","20,346","20,694","20,738","21,854","22,424","23,279","23,748","24,391","23,321","24,572","27,484","27,416"
East Midlands ,E07000172,Broxtowe,"13,320","13,798","13,762","13,870","14,547","15,060","15,682","16,823","17,471","18,007","18,091","18,013","18,756","19,471","20,332","20,880","20,792","21,607","22,408","22,660","22,776","21,246","21,237","23,189","25,756","28,005"
East Midlands ,E07000173,Gedling,"9,136","9,435","9,578","10,005","10,353","10,643","11,041","11,565","12,077","12,507","12,801","12,214","12,603","12,992","13,720","13,630","13,835","14,501","14,897","15,284","15,489","15,778","15,825","17,133","18,372","19,680"
East Midlands ,E07000176,Rushcliffe,"13,763","14,518","14,911","15,623","15,670","15,997","17,035","17,884","18,510","19,641","20,357","19,512","20,062","20,127","20,864","21,857","22,417","22,945","23,094","24,061","27,339","29,856","28,539","28,177","31,789","33,353"
East Midlands ,E06000016,Leicester,"14,562","15,257","16,155","16,655","16,993","17,943","18,914","19,317","20,342","21,100","21,617","21,044","21,926","22,014","22,431","23,058","24,721","25,067","25,331","25,423","25,995","26,549","25,295","28,019","28,573","30,121"
East Midlands ,E06000017,Rutland,"16,033","16,137","17,024","17,315","17,456","18,156","18,857","19,334","20,167","20,324","21,146","20,146","21,235","21,103","21,775","21,592","22,206","23,339","24,188","23,368","23,832","23,521","22,770","25,695","27,937","30,010"
East Midlands ,E07000129,Blaby,"18,690","18,455","19,563","19,711","20,483","22,032","24,899","26,224","28,169","30,142","31,879","33,087","33,045","31,662","34,001","37,328","38,834","39,858","38,533","39,678","39,896","39,883","34,646","38,302","45,232","51,678"
East Midlands ,E07000130,Charnwood,"13,924","14,289","15,156","16,390","17,095","18,029","18,811","19,480","20,165","20,306","21,225","20,003","20,519","20,379","20,392","19,764","20,333","21,114","22,249","22,850","23,253","23,062","22,335","24,671","25,827","29,330"
East Midlands ,E07000131,Harborough,"15,883","16,476","16,870","16,712","17,175","18,309","18,636","19,418","20,539","21,489","21,775","20,378","21,528","21,424","21,605","21,829","23,612","24,302","24,225","25,287","25,648","26,755","24,899","26,498","27,983","29,276"
East Midlands ,E07000132,Hinckley and Bosworth,"13,426","13,511","14,432","14,825","15,175","15,906","16,350","16,762","18,208","19,075","20,060","18,315","19,648","20,021","20,551","21,498","22,533","22,449","22,503","23,492","23,736","24,386","22,747","25,625","27,485","28,708"
East Midlands ,E07000133,Melton,"15,131","15,030","15,416","15,589","16,289","16,689","17,010","17,065","18,381","19,275","20,087","20,042","20,790","20,561","21,064","21,627","21,583","23,948","24,934","25,226","26,636","27,755","25,750","28,898","30,008","30,920"
East Midlands ,E07000134,North West Leicestershire,"21,989","22,237","23,119","23,352","24,115","25,947","26,383","27,400","29,029","30,488","30,804","28,934","30,852","30,667","31,566","34,148","35,229","35,367","37,048","37,314","39,671","40,597","36,135","41,877","45,396","48,781"
East Midlands ,E07000135,Oadby and Wigston,"9,917","10,049","10,369","10,661","10,903","11,532","11,979","12,282","12,908","13,372","14,034","13,621","14,391","14,310","14,977","15,222","15,077","15,305","15,978","15,541","15,906","16,343","15,215","17,342","17,996","19,658"
East Midlands ,E06000062,West Northamptonshire,"17,551","17,847","19,017","19,515","19,981","20,757","21,751","22,625","24,194","25,406","26,038","24,897","26,016","26,330","26,319","27,757","28,692","29,290","30,045","31,333","32,896","33,804","31,959","35,383","37,970","40,137"
East Midlands ,E06000061,North Northamptonshire,"14,806","15,102","15,598","15,734","15,775","16,559","17,156","17,535","18,149","18,758","19,237","18,211","19,158","18,881","19,584","20,146","20,886","21,281","21,550","21,724","22,384","23,134","21,857","23,946","25,700","27,000"
East Midlands ,E07000136,Boston,"13,505","13,686","14,467","15,533","16,147","16,901","16,279","16,994","17,373","17,951","18,398","17,426","17,668","18,533","19,243","19,852","21,160","21,254","21,638","22,565","23,420","24,145","22,352","23,755","25,027","26,406"
East Midlands ,E07000137,East Lindsey,"10,966","11,084","11,489","12,104","12,789","13,183","13,021","13,486","14,386","14,565","15,353","14,715","15,294","16,136","16,532","17,447","17,834","18,082","18,362","19,189","19,500","20,800","19,470","21,135","22,196","23,403"
East Midlands ,E07000138,Lincoln,"16,177","16,466","16,765","17,837","18,981","20,398","20,296","21,153","22,864","24,157","25,672","25,044","25,233","25,405","25,150","25,931","26,421","27,754","27,742","28,337","29,520","30,740","28,916","30,594","31,996","34,815"
East Midlands ,E07000139,North Kesteven,"15,590","15,612","15,901","16,729","17,332","17,852","17,391","17,958","19,084","19,623","20,188","19,155","19,515","19,732","20,639","21,611","22,366","22,367","22,126","23,897","25,353","26,774","25,721","27,998","29,971","31,175"
East Midlands ,E07000140,South Holland,"15,511","15,704","16,287","17,328","17,466","17,898","16,901","17,396","18,051","18,747","18,989","18,302","18,597","19,061","20,120","21,410","21,856","21,876","22,818","24,666","25,855","26,412","25,923","28,372","28,210","30,193"
East Midlands ,E07000141,South Kesteven,"13,080","13,292","13,781","14,882","15,575","16,544","16,504","17,112","17,905","18,847","19,644","18,628","19,394","19,440","20,522","21,052","21,407","21,204","21,075","22,648","23,084","23,960","22,531","23,901","25,762","27,261"
East Midlands ,E07000142,West Lindsey,"10,843","10,914","11,973","12,268","12,774","13,143","12,919","13,231","13,810","14,083","14,888","13,961","14,369","14,779","15,269","16,441","17,137","17,211","17,070","17,834","19,060","20,826","19,976","22,319","23,736","24,843"
West Midlands ,E06000019,"Herefordshire, County of","14,037","14,714","15,321","15,416","16,141","16,588","16,498","16,941","17,428","17,738","18,490","17,667","17,977","18,980","19,567","20,379","21,375","21,883","22,178","23,125","24,189","24,965","23,653","25,353","27,826","29,729"
West Midlands ,E07000234,Bromsgrove,"17,249","17,872","18,899","18,923","18,658","19,775","21,470","22,737","24,798","22,271","23,725","25,059","25,690","27,145","28,800","29,731","29,910","28,360","29,390","32,905","33,298","33,066","31,833","33,180","39,103","42,016"
West Midlands ,E07000235,Malvern Hills,"13,165","14,128","14,698","15,433","16,648","17,045","17,664","17,786","18,499","19,052","19,715","19,109","20,275","21,434","21,091","21,009","21,742","21,818","22,358","23,201","24,693","26,109","23,991","24,393","27,092","29,549"
West Midlands ,E07000236,Redditch,"14,426","14,900","15,396","15,511","15,630","16,349","17,361","17,614","18,439","18,622","19,156","18,342","19,153","20,138","21,191","22,941","25,337","26,584","27,091","29,072","28,824","28,202","26,119","26,488","29,182","31,984"
West Midlands ,E07000237,Worcester,"17,764","18,586","19,391","19,625","20,175","21,644","22,979","23,401","24,803","25,317","25,825","25,183","25,944","26,980","29,046","30,566","31,144","31,948","29,689","31,116","31,939","32,494","32,079","33,744","37,875","40,027"
West Midlands ,E07000238,Wychavon,"14,331","14,986","15,607","15,895","15,911","16,845","17,571","17,882","18,855","19,275","20,162","19,019","19,527","20,965","21,949","22,162","23,519","24,197","24,497","25,457","26,521","27,472","26,785","27,903","29,357","31,287"
West Midlands ,E07000239,Wyre Forest,"10,117","10,582","10,926","11,095","11,367","12,020","12,526","12,864","13,486","13,810","14,163","13,466","13,838","14,592","15,112","15,321","15,866","15,710","16,188","16,793","17,263","17,791","16,959","18,105","19,988","20,789"
West Midlands ,E07000218,North Warwickshire,"23,812","25,695","26,526","26,609","27,061","28,485","29,460","30,657","32,401","32,601","33,172","31,457","33,451","35,090","38,124","40,320","41,624","43,576","42,762","47,331","51,681","51,260","47,545","50,231","56,855","62,052"
West Midlands ,E07000219,Nuneaton and Bedworth,"9,319","9,846","10,214","10,363","10,500","10,913","11,495","11,854","12,392","12,607","12,962","12,237","12,662","13,381","14,391","15,583","16,723","17,106","16,916","18,211","18,999","19,431","18,380","19,503","22,083","23,312"
West Midlands ,E07000220,Rugby,"18,121","19,604","20,363","20,667","21,065","22,069","23,656","23,991","24,863","25,229","25,760","23,766","24,643","25,500","26,233","26,673","27,433","28,720","29,768","31,372","30,895","29,734","27,965","29,801","34,416","37,972"
West Midlands ,E07000221,Stratford-on-Avon,"18,761","20,493","21,901","21,954","22,475","22,691","23,053","25,485","26,643","26,994","27,982","25,894","27,699","29,384","31,282","34,266","35,395","36,706","38,453","43,278","43,710","42,818","37,282","39,561","43,269","48,598"
